City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,67.8,76,49,10.56,ZA,04/03/2023
1,barrow,71.2906,-156.7887,3.22,85,100,14.97,US,04/03/2023
2,qaanaaq,77.484,-69.3632,-7.96,72,0,3.22,GL,04/03/2023
3,farah,32.5,62.5,63.68,17,0,7.61,AF,04/03/2023
4,upernavik,72.7868,-56.1549,-11.2,92,77,2.71,GL,04/03/2023
5,ushuaia,-54.8,-68.3,62.26,34,20,18.41,AR,04/03/2023
6,hilo,19.7297,-155.09,71.28,95,75,3.44,US,04/03/2023
7,tukrah,32.5341,20.5791,62.1,54,2,23.26,LY,04/03/2023
8,dudinka,69.4058,86.1778,-14.39,98,75,8.08,RU,04/03/2023
9,ambon,-3.6954,128.1814,73.54,94,40,9.22,ID,04/03/2023
10,rikitea,-23.1203,-134.9692,80.19,81,62,13.71,PF,04/03/2023
11,kapaa,22.0752,-159.319,71.92,84,20,8.05,US,04/03/2023
12,praia,14.9215,-23.5087,84.74,54,41,23.02,CV,04/03/2023
13,albany,42.6001,-73.9662,50.95,30,44,4.0,US,04/03/2023
14,college,64.8569,-147.8028,3.18,78,75,4.61,US,04/03/2023
15,jamestown,42.097,-79.2353,58.59,47,0,13.8,US,04/03/2023
16,ourossogui,15.6064,-13.3211,107.6,10,0,2.3,SN,04/03/2023
17,busselton,-33.65,115.3333,57.79,90,1,8.08,AU,04/03/2023
18,hirara,24.8,125.2833,70.07,68,75,14.97,JP,04/03/2023
19,port lincoln,-34.7333,135.8667,64.09,72,1,8.19,AU,04/03/2023
20,tarata,-17.6167,-66.0167,69.67,40,10,0.92,BO,04/03/2023
21,naqadeh,36.9553,45.388,50.9,61,36,4.36,IR,04/03/2023
22,mahebourg,-20.4081,57.7,80.89,78,40,4.61,MU,04/03/2023
23,matagami,49.7502,-77.6328,28.51,93,100,6.91,CA,04/03/2023
24,ahipara,-35.1667,173.1667,61.3,64,24,11.18,NZ,04/03/2023
25,cabo san lucas,22.8909,-109.9124,78.51,41,40,3.44,MX,04/03/2023
26,caravelas,-17.7125,-39.2481,81.16,70,38,11.63,BR,04/03/2023
27,mataura,-46.1927,168.8643,45.7,90,83,1.59,NZ,04/03/2023
28,hobart,-42.8794,147.3294,57.06,86,100,5.75,AU,04/03/2023
29,leningradskiy,69.3833,178.4167,-27.22,99,30,5.95,RU,04/03/2023
30,barra patuca,15.8,-84.2833,83.01,64,52,14.07,HN,04/03/2023
31,port blair,11.6667,92.75,80.11,70,67,2.15,IN,04/03/2023
32,longyearbyen,78.2186,15.6401,12.04,79,100,23.02,SJ,04/03/2023
33,new norfolk,-42.7826,147.0587,56.71,70,100,2.91,AU,04/03/2023
34,kaitangata,-46.2817,169.8464,50.58,78,98,4.63,NZ,04/03/2023
35,kutum,14.2,24.6667,87.44,10,75,9.44,SD,04/03/2023
36,nishihara,26.1842,127.7558,69.08,60,75,19.57,JP,04/03/2023
37,fukue,32.6881,128.8419,60.62,74,86,6.02,JP,04/03/2023
38,saint-pierre,-21.3393,55.4781,78.48,83,20,4.61,RE,04/03/2023
39,pisco,-13.7,-76.2167,78.85,78,40,8.05,PE,04/03/2023
40,majene,-3.5403,118.9707,78.48,83,93,4.74,ID,04/03/2023
41,saint anthony,45.0205,-93.218,40.89,70,0,14.97,US,04/03/2023
42,richards bay,-28.783,32.0377,77.05,82,15,3.8,ZA,04/03/2023
43,naze,28.3667,129.4833,65.32,60,99,21.21,JP,04/03/2023
44,lompoc,34.6391,-120.4579,51.01,68,40,16.11,US,04/03/2023
45,vaini,-21.2,-175.2,71.76,94,20,4.61,TO,04/03/2023
46,fengcheng,40.4536,124.0717,57.49,35,100,5.23,CN,04/03/2023
47,mogadishu,2.0371,45.3438,83.17,74,71,13.69,SO,04/03/2023
48,hithadhoo,-0.6,73.0833,83.12,71,50,6.82,MV,04/03/2023
49,bouna,9.2667,-3.0,95.79,30,49,3.85,CI,04/03/2023
50,nouadhibou,20.931,-17.0347,80.58,50,4,19.57,MR,04/03/2023
51,ribeira grande,38.5167,-28.7,63.0,63,20,12.66,PT,04/03/2023
52,arroio grande,-32.2375,-53.0869,77.7,44,82,7.34,BR,04/03/2023
53,simao,22.7886,100.9748,61.79,48,4,1.07,CN,04/03/2023
54,avarua,-21.2078,-159.775,77.05,69,75,5.75,CK,04/03/2023
55,ravar,31.2656,56.8055,62.49,12,0,5.17,IR,04/03/2023
56,bathsheba,13.2167,-59.5167,84.81,61,75,23.02,BB,04/03/2023
57,dali,25.7,100.1833,50.25,70,7,7.23,CN,04/03/2023
58,gigmoto,13.7796,124.39,78.51,84,70,11.54,PH,04/03/2023
59,ancud,-41.8697,-73.8203,56.89,59,0,4.0,CL,04/03/2023
60,san patricio,28.017,-97.5169,82.17,53,61,14.54,US,04/03/2023
61,port elizabeth,-33.918,25.5701,73.09,71,20,27.63,ZA,04/03/2023
62,cortes,41.9395,-1.4396,64.45,36,1,23.73,ES,04/03/2023
63,pimentel,-6.8367,-79.9342,82.69,78,20,2.3,PE,04/03/2023
64,carnarvon,-24.8667,113.6333,75.56,74,95,8.01,AU,04/03/2023
65,zuwarah,32.9312,12.082,66.15,44,4,19.75,LY,04/03/2023
66,kudahuvadhoo,2.6708,72.8944,83.05,72,42,7.81,MV,04/03/2023
67,saskylakh,71.9167,114.0833,-0.92,97,100,12.48,RU,04/03/2023
68,dikson,73.5069,80.5464,-15.68,100,81,8.52,RU,04/03/2023
69,honningsvag,70.9821,25.9704,29.95,59,100,18.41,NO,04/03/2023
70,moratuwa,6.773,79.8816,78.82,81,98,4.79,LK,04/03/2023
71,ribas do rio pardo,-20.4431,-53.7592,85.6,51,0,6.8,BR,04/03/2023
72,kodiak,57.79,-152.4072,29.71,93,100,3.44,US,04/03/2023
73,karpogory,64.0019,44.4451,25.21,85,98,8.05,RU,04/03/2023
74,nikolskoye,59.7035,30.7861,31.91,94,100,10.51,RU,04/03/2023
75,mehamn,71.0357,27.8492,28.35,74,0,17.27,NO,04/03/2023
76,lakatoro,-16.0999,167.4164,80.37,83,39,7.54,VU,04/03/2023
77,luanda,-8.8368,13.2343,86.0,66,40,17.27,AO,04/03/2023
78,kloulklubed,7.0419,134.2556,75.7,74,95,7.74,PW,04/03/2023
79,east london,-33.0153,27.9116,68.94,83,20,12.66,ZA,04/03/2023
80,tasiilaq,65.6145,-37.6368,23.16,80,100,7.43,GL,04/03/2023
81,forbes,-33.3833,148.0167,65.91,72,20,7.36,AU,04/03/2023
82,kavieng,-2.5744,150.7967,80.65,81,95,6.33,PG,04/03/2023
83,haines junction,60.7522,-137.5108,-0.45,78,31,1.14,CA,04/03/2023
84,bluff,-46.6,168.3333,56.05,81,72,16.62,NZ,04/03/2023
85,butaritari,3.0707,172.7902,81.73,80,87,17.58,KI,04/03/2023
86,port alfred,-33.5906,26.891,69.19,69,70,5.99,ZA,04/03/2023
87,xichang,27.8964,102.2634,58.14,44,27,4.25,CN,04/03/2023
88,bengkulu,-3.8004,102.2655,75.97,89,100,5.35,ID,04/03/2023
89,ponta do sol,32.6667,-17.1,74.03,70,8,5.93,PT,04/03/2023
90,coari,-4.085,-63.1414,81.18,75,96,3.27,BR,04/03/2023
91,pombas,17.1503,-25.0201,80.38,75,6,13.04,CV,04/03/2023
92,victoria,22.2855,114.1577,71.96,94,98,13.0,HK,04/03/2023
93,bredasdorp,-34.5322,20.0403,67.17,62,67,12.84,ZA,04/03/2023
94,guerrero negro,27.9769,-114.0611,59.09,72,98,20.51,MX,04/03/2023
95,nuuk,64.1835,-51.7216,29.01,64,0,12.66,GL,04/03/2023
96,khatanga,71.9667,102.5,-7.78,98,100,6.96,RU,04/03/2023
97,alice springs,-23.7,133.8833,63.95,82,100,0.0,AU,04/03/2023
98,udachnyy,66.4167,112.4,26.46,73,100,8.46,RU,04/03/2023
99,prado,-17.3411,-39.2208,79.45,81,40,10.89,BR,04/03/2023
100,dawei,14.0833,98.2,74.75,83,97,0.96,MM,04/03/2023
101,kurkino,53.4257,38.6582,44.24,90,99,5.95,RU,04/03/2023
102,tiksi,71.6872,128.8694,11.89,95,81,7.47,RU,04/03/2023
103,beyneu,45.3167,55.2,56.53,36,100,7.81,KZ,04/03/2023
104,madhipura,25.9167,86.7833,81.86,25,8,7.0,IN,04/03/2023
105,chuy,-33.6971,-53.4616,61.56,82,100,0.67,UY,04/03/2023
106,mokobeng,-22.9965,27.6678,82.38,28,0,2.06,BW,04/03/2023
107,castro,-24.7911,-50.0119,73.76,54,0,1.34,BR,04/03/2023
108,fare,-16.7,-151.0167,81.28,69,41,2.37,PF,04/03/2023
109,juruti,-2.1522,-56.0922,84.88,63,90,4.76,BR,04/03/2023
110,manokwari,-0.8667,134.0833,78.71,83,99,4.45,ID,04/03/2023
111,sao domingos,-13.3983,-46.3183,83.84,50,31,4.38,BR,04/03/2023
112,alvaraes,-3.2208,-64.8042,87.67,69,92,2.68,BR,04/03/2023
113,kot samaba,28.5522,70.4684,81.28,37,24,12.62,PK,04/03/2023
114,naryan-mar,67.6713,53.087,5.99,94,7,6.4,RU,04/03/2023
115,cape town,-33.9258,18.4232,70.21,66,75,8.05,ZA,04/03/2023
116,airai,-8.9266,125.4092,58.84,93,100,1.66,TL,04/03/2023
117,luderitz,-26.6481,15.1594,70.52,59,0,25.3,NA,04/03/2023
118,namibe,-15.1961,12.1522,78.87,67,19,14.58,AO,04/03/2023
119,puerto ayora,-0.7393,-90.3518,84.16,87,57,5.01,EC,04/03/2023
120,novovarshavka,54.1721,74.6946,30.85,71,0,5.55,RU,04/03/2023
121,thompson,55.7435,-97.8558,-5.64,84,75,3.44,CA,04/03/2023
122,saint-philippe,-21.3585,55.7679,78.39,84,100,5.59,RE,04/03/2023
123,saurimo,-9.6608,20.3916,72.41,82,89,1.54,AO,04/03/2023
124,yerbogachen,61.2767,108.0108,23.49,95,100,12.53,RU,04/03/2023
125,ardakan,32.31,54.0175,65.3,13,1,8.72,IR,04/03/2023
126,komsomolskiy,40.4272,71.7189,61.52,55,100,16.11,UZ,04/03/2023
127,provideniya,64.3833,-173.3,4.8,99,93,6.91,RU,04/03/2023
128,erenhot,43.6475,111.9767,34.54,35,100,15.57,CN,04/03/2023
129,liverpool,53.4106,-2.9779,56.08,54,0,11.5,GB,04/03/2023
130,belen,36.4891,36.2233,66.34,43,0,5.75,TR,04/03/2023
131,lebu,-37.6167,-73.65,59.27,65,0,17.07,CL,04/03/2023
132,touros,-5.1989,-35.4608,85.32,63,97,8.23,BR,04/03/2023
133,tutoia,-2.7619,-42.2744,80.83,75,99,5.88,BR,04/03/2023
134,lagoa,39.05,-27.9833,58.24,68,93,12.12,PT,04/03/2023
135,georgetown,5.4112,100.3354,80.55,83,20,1.14,MY,04/03/2023
136,lasa,46.6166,10.7002,52.68,66,29,7.63,IT,04/03/2023
137,saryg-sep,51.5,95.6,9.64,85,91,3.06,RU,04/03/2023
138,karratha,-20.7377,116.8463,84.02,74,17,13.87,AU,04/03/2023
139,sorland,67.667,12.6934,40.86,86,74,17.65,NO,04/03/2023
140,axim,4.8699,-2.2405,84.38,70,66,10.65,GH,04/03/2023
141,norman wells,65.282,-126.8329,10.44,92,100,4.61,CA,04/03/2023
142,saint-marc,19.1082,-72.6938,82.71,57,2,7.58,HT,04/03/2023
143,cherskiy,68.75,161.3,-20.33,95,36,7.56,RU,04/03/2023
144,fengzhen,40.4394,113.1536,37.36,84,100,7.47,CN,04/03/2023
145,arraial do cabo,-22.9661,-42.0278,82.36,61,20,11.5,BR,04/03/2023
146,souillac,-20.5167,57.5167,80.98,78,40,4.61,MU,04/03/2023
147,yellowknife,62.456,-114.3525,0.12,85,40,2.3,CA,04/03/2023
148,atuona,-9.8,-139.0333,79.52,83,99,14.27,PF,04/03/2023
149,ust-tsilma,65.441,52.1498,10.49,96,29,3.11,RU,04/03/2023
150,manaure,11.7751,-72.4445,87.53,52,2,21.41,CO,04/03/2023
151,camiri,-20.05,-63.5167,82.18,61,20,5.75,BO,04/03/2023
152,peshawar,34.008,71.5785,64.54,82,75,9.22,PK,04/03/2023
153,marondera,-18.1853,31.5519,63.43,75,93,5.23,ZW,04/03/2023
154,guisa,20.255,-76.5386,89.08,32,7,5.68,CU,04/03/2023
155,crib point,-38.35,145.2,60.58,72,97,4.72,AU,04/03/2023
156,cap malheureux,-19.9842,57.6142,80.47,73,73,3.0,MU,04/03/2023
157,ciudad bolivar,8.1222,-63.5497,94.14,32,47,10.22,VE,04/03/2023
158,altay,47.8667,88.1167,21.0,44,0,8.19,CN,04/03/2023
159,ayagoz,47.9714,80.4392,27.95,47,0,15.84,KZ,04/03/2023
160,bambous virieux,-20.3428,57.7575,80.85,78,40,4.61,MU,04/03/2023
161,nangong,37.3581,115.3744,50.13,71,100,17.2,CN,04/03/2023
162,lavrentiya,65.5833,-171.0,3.0,97,100,5.77,RU,04/03/2023
163,punta arenas,-53.15,-70.9167,57.31,51,0,18.41,CL,04/03/2023
164,mushie,-3.0167,16.9,88.52,57,68,3.27,CD,04/03/2023
165,wahiawa,21.5028,-158.0236,67.87,90,96,4.72,US,04/03/2023
166,vila velha,-20.3297,-40.2925,82.35,67,20,12.66,BR,04/03/2023
167,guapore,-28.8456,-51.8903,77.7,32,9,4.88,BR,04/03/2023
168,sao joao da barra,-21.6403,-41.0511,82.49,57,100,10.13,BR,04/03/2023
169,alofi,-19.0595,-169.9187,76.89,88,75,10.36,NU,04/03/2023
170,hamilton,39.1834,-84.5333,56.89,78,75,4.61,US,04/03/2023
171,wadowice,49.8834,19.4929,41.36,65,96,10.4,PL,04/03/2023
172,broceni,56.7,22.5333,33.03,52,10,11.14,LV,04/03/2023
173,nelson bay,-32.7167,152.15,66.0,94,85,10.58,AU,04/03/2023
174,burnie,-41.0667,145.9167,49.95,97,92,3.58,AU,04/03/2023
175,codrington,-38.2667,141.9667,52.43,92,43,4.5,AU,04/03/2023
176,namatanai,-3.6667,152.4333,79.77,82,90,6.29,PG,04/03/2023
177,kondinskoye,59.6481,67.41,35.4,98,100,6.15,RU,04/03/2023
178,williams lake,52.1415,-122.1445,27.97,96,75,3.44,CA,04/03/2023
179,mount gambier,-37.8333,140.7667,50.63,95,43,4.63,AU,04/03/2023
180,saldanha,-33.0117,17.9442,63.61,82,62,9.78,ZA,04/03/2023
181,marsa matruh,31.3525,27.2453,88.0,10,0,20.71,EG,04/03/2023
182,xinzhi,36.4989,111.7047,49.17,84,100,5.35,CN,04/03/2023
183,rio grande,-32.035,-52.0986,80.71,59,71,10.56,BR,04/03/2023
184,palana,59.1167,159.9667,12.09,96,100,5.08,RU,04/03/2023
185,isangel,-19.55,169.2667,79.05,86,32,6.2,VU,04/03/2023
186,cockburn town,21.4612,-71.1419,77.81,75,25,13.31,TC,04/03/2023
187,clyde river,70.4692,-68.5914,-12.77,84,0,8.05,CA,04/03/2023
188,avera,33.194,-82.5271,57.54,69,100,1.86,US,04/03/2023
189,guiratinga,-16.3494,-53.7583,83.35,59,1,6.58,BR,04/03/2023
190,camana,-16.6228,-72.7111,78.31,76,90,7.0,PE,04/03/2023
191,dakar,14.6937,-17.4441,85.08,74,40,9.22,SN,04/03/2023
192,oyama,36.3,139.8,56.59,50,18,1.43,JP,04/03/2023
193,havoysund,70.9963,24.6622,30.43,70,99,16.17,NO,04/03/2023
194,faanui,-16.4833,-151.75,81.54,71,59,3.44,PF,04/03/2023
195,hereford,52.0568,-2.7148,56.53,63,8,1.01,GB,04/03/2023
196,alghero,40.5589,8.3181,60.89,77,20,6.91,IT,04/03/2023
197,vardo,70.3705,31.1107,28.38,80,75,31.07,NO,04/03/2023
198,opuwo,-18.0607,13.84,79.61,41,82,7.45,NA,04/03/2023
199,sao felix do xingu,-6.6447,-51.995,76.59,83,100,1.03,BR,04/03/2023
200,sakakah,29.9697,40.2064,81.97,14,0,6.82,SA,04/03/2023
201,bucerias,20.75,-105.3333,82.51,37,100,3.69,MX,04/03/2023
202,xinzhou,38.4092,112.7333,44.85,83,100,5.37,CN,04/03/2023
203,jega,12.2175,4.3792,103.28,5,39,6.64,NG,04/03/2023
204,mar del plata,-38.0023,-57.5575,72.95,65,0,6.91,AR,04/03/2023
205,ekhabi,53.5102,142.9671,29.37,91,100,17.16,RU,04/03/2023
206,tuktoyaktuk,69.4541,-133.0374,-13.0,77,20,3.44,CA,04/03/2023
207,jishou,28.3167,109.7167,70.27,95,100,2.24,CN,04/03/2023
208,esperance,-33.8667,121.9,67.01,81,97,6.06,AU,04/03/2023
209,jijiga,9.35,42.8,67.19,74,97,0.81,ET,04/03/2023
210,yangjiang,21.85,111.9667,72.57,95,6,6.22,CN,04/03/2023
211,proletarskiy,50.7914,35.7731,45.09,88,100,6.93,RU,04/03/2023
212,sakhon nakhon,17.1612,104.1472,84.15,70,62,3.44,TH,04/03/2023
213,khilok,51.3674,110.4676,10.6,70,11,5.41,RU,04/03/2023
214,pevek,69.7008,170.3133,-27.69,100,81,7.14,RU,04/03/2023
215,port hardy,50.6996,-127.4199,41.0,93,40,5.75,CA,04/03/2023
216,zhigansk,66.7697,123.3711,18.14,95,99,15.39,RU,04/03/2023
217,abha,18.2164,42.5053,66.02,59,20,12.66,SA,04/03/2023
218,gamba,-2.65,10.0,82.56,72,93,9.08,GA,04/03/2023
219,nipawin,53.3668,-104.0009,3.24,72,0,5.75,CA,04/03/2023
220,sao filipe,14.8961,-24.4956,75.56,71,8,8.37,CV,04/03/2023
221,kruisfontein,-34.0033,24.7314,70.88,82,0,18.28,ZA,04/03/2023
222,narsaq,60.9167,-46.05,50.22,91,100,6.85,GL,04/03/2023
223,kokstad,-30.5472,29.4241,58.51,90,82,5.82,ZA,04/03/2023
224,muisne,0.6,-80.0333,78.91,83,99,1.86,EC,04/03/2023
225,rabo de peixe,37.8,-25.5833,58.51,67,75,5.75,PT,04/03/2023
226,ilulissat,69.2167,-51.1,14.02,62,20,0.0,GL,04/03/2023
227,tukan,53.8409,57.4552,31.21,91,85,3.98,RU,04/03/2023
228,korem,12.5058,39.5228,58.62,84,84,6.6,ET,04/03/2023
229,beringovskiy,63.05,179.3167,7.43,92,96,13.04,RU,04/03/2023
230,mitsamiouli,-11.3847,43.2844,82.06,75,95,3.78,KM,04/03/2023
231,delmas,18.5447,-72.3028,86.72,45,20,13.8,HT,04/03/2023
232,thunder bay,48.4001,-89.3168,22.91,68,75,5.75,CA,04/03/2023
233,geelong,-38.1471,144.3607,58.71,94,75,6.91,AU,04/03/2023
234,robertson,36.5167,-86.8667,66.65,55,100,5.75,US,04/03/2023
235,kahului,20.8947,-156.47,75.85,81,100,11.01,US,04/03/2023
236,ewa beach,21.3156,-158.0072,71.1,91,0,6.91,US,04/03/2023
237,chico,39.7285,-121.8375,44.94,53,0,12.66,US,04/03/2023
238,grand-santi,4.25,-54.3833,88.86,45,54,4.76,GF,04/03/2023
239,altamira,-3.2033,-52.2064,86.09,70,75,8.05,BR,04/03/2023
240,adolfo lopez mateos,28.4667,-107.3,64.92,9,6,26.89,MX,04/03/2023
241,gualaquiza,-3.4,-78.55,72.54,76,95,1.14,EC,04/03/2023
242,chapais,49.7834,-74.8492,24.58,96,100,8.55,CA,04/03/2023
243,salalah,17.0151,54.0924,84.29,74,20,4.61,OM,04/03/2023
244,fort nelson,58.8053,-122.7002,25.95,71,75,5.01,CA,04/03/2023
245,saint marys,30.7305,-81.5465,80.06,83,0,9.22,US,04/03/2023
246,carrollton,32.9537,-96.8903,80.62,76,40,17.27,US,04/03/2023
247,puerto baquerizo moreno,-0.9,-89.6,83.39,79,20,9.22,EC,04/03/2023
248,smithers,54.7804,-127.1743,23.32,80,75,3.44,CA,04/03/2023
249,morondava,-20.2833,44.2833,81.43,77,2,6.15,MG,04/03/2023
250,quatre cocos,-20.2078,57.7625,80.71,77,69,7.94,MU,04/03/2023
251,los llanos de aridane,28.6585,-17.9182,71.13,78,20,18.41,ES,04/03/2023
252,jati,24.3539,68.2671,80.17,60,0,15.68,PK,04/03/2023
253,sitka,57.0531,-135.33,37.29,75,20,9.22,US,04/03/2023
254,springdale,36.1867,-94.1288,72.82,72,0,19.57,US,04/03/2023
255,cidreira,-30.1811,-50.2056,75.83,59,9,10.67,BR,04/03/2023
256,ipixuna,-1.7625,-48.8043,79.36,87,100,1.05,BR,04/03/2023
257,talnakh,69.4865,88.3972,-14.8,98,70,9.84,RU,04/03/2023
258,shawnee,39.05,-95.7669,61.25,81,100,10.36,US,04/03/2023
259,natal,-5.795,-35.2094,88.45,58,40,11.5,BR,04/03/2023
260,severodvinsk,64.5635,39.8302,30.31,86,8,8.72,RU,04/03/2023
261,mount isa,-20.7333,139.5,73.17,28,36,10.36,AU,04/03/2023
262,padang,-0.9492,100.3543,77.05,85,100,3.44,ID,04/03/2023
263,khandyga,62.6667,135.6,4.01,90,100,5.06,RU,04/03/2023
264,port hedland,-20.3167,118.5667,80.65,83,35,5.75,AU,04/03/2023
265,corner brook,48.9667,-57.9484,28.56,91,100,14.97,CA,04/03/2023
266,aitape,-3.1374,142.3475,77.63,84,91,3.91,PG,04/03/2023
267,samarai,-10.6167,150.6667,82.92,76,94,6.89,PG,04/03/2023
268,virden,39.5009,-89.7679,66.06,68,75,8.21,US,04/03/2023
269,severo-yeniseyskiy,60.3725,93.0408,28.11,93,100,11.88,RU,04/03/2023
270,shahrud,36.4182,54.9763,47.34,51,12,8.23,IR,04/03/2023
271,geraldton,-28.7667,114.6,70.21,78,70,13.8,AU,04/03/2023
272,bitung,1.4451,125.1824,76.05,83,81,4.81,ID,04/03/2023
273,pskov,57.8136,28.3496,31.91,74,75,8.99,RU,04/03/2023
274,faya,18.3851,42.4509,66.31,54,99,7.7,SA,04/03/2023
275,killybegs,54.6333,-8.45,53.31,74,100,18.9,IE,04/03/2023
276,goure,13.9835,10.2704,97.5,4,72,8.48,NE,04/03/2023
277,puro,12.4841,123.3827,79.48,80,89,10.51,PH,04/03/2023
278,portland,45.5234,-122.6762,39.2,92,100,7.0,US,04/03/2023
279,westport,41.1415,-73.3579,54.28,49,23,5.01,US,04/03/2023
280,wexford,52.3342,-6.4575,51.22,90,100,8.01,IE,04/03/2023
281,laguna,38.421,-121.4238,48.29,57,0,4.61,US,04/03/2023
282,constitucion,-35.3333,-72.4167,58.53,74,100,20.4,CL,04/03/2023
283,quebo,11.3333,-14.9333,97.27,29,23,13.62,GW,04/03/2023
284,torbay,47.6666,-52.7314,35.58,69,75,26.46,CA,04/03/2023
285,san carlos de bariloche,-41.1456,-71.3082,51.55,54,0,4.61,AR,04/03/2023
286,kaele,10.1092,14.4508,100.87,15,74,5.93,CM,04/03/2023
287,suntar,62.1444,117.6319,21.29,95,100,6.24,RU,04/03/2023
288,henties bay,-22.116,14.2845,64.81,76,1,14.38,NA,04/03/2023
289,batagay,67.6333,134.6333,1.6,96,46,5.35,RU,04/03/2023
290,flinders,-34.5833,150.8552,66.38,83,23,3.0,AU,04/03/2023
291,mahanoro,-19.9,48.8,77.43,83,78,3.27,MG,04/03/2023
292,nome,64.5011,-165.4064,5.11,85,100,6.91,US,04/03/2023
